id,time,nodeaddr,appeui,gwaddr,modulation,datarate,snr,rssi,freq,fcount,lat,lon,alt,accuracy,hdop,sats,provider,name,user_agent
34884443, 2020-11-28 09:06:50, feather_m0, iot_g4, C0EE40FFFF2947E1, LORA, SF12, 7.20, -91.00, 867.500, 4, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884444, 2020-11-28 09:06:50, feather_m0, iot_g4, 1DEE0EF864B8691B, LORA, SF12, -18.50, -90.00, 867.500, 4, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884445, 2020-11-28 09:06:50, feather_m0, iot_g4, FCC23DFFFE0B685F, LORA, SF12, 8.50, -74.00, 867.500, 4, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884446, 2020-11-28 09:06:50, feather_m0, iot_g4, ttn-tum-i10, LORA, SF12, 7.25, -95.00, 867.500, 4, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884379, 2020-11-28 09:06:15, feather_m0, iot_g4, C0EE40FFFF2947BC, LORA, SF10, -14.00, -111.00, 867.100, 3, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884380, 2020-11-28 09:06:15, feather_m0, iot_g4, 1DEE0EF864B8691B, LORA, SF10, 2.80, -113.00, 867.100, 3, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884381, 2020-11-28 09:06:15, feather_m0, iot_g4, C0EE40FFFF2947E1, LORA, SF10, 7.80, -109.00, 867.100, 3, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884382, 2020-11-28 09:06:15, feather_m0, iot_g4, FCC23DFFFE0B685F, LORA, SF10, 12.20, -75.00, 867.100, 3, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884383, 2020-11-28 09:06:15, feather_m0, iot_g4, ttn-tum-i10, LORA, SF10, -1.75, -113.00, 867.100, 3, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884336, 2020-11-28 09:05:59, feather_m0, iot_g4, 1DEE0EF864B8691B, LORA, SF09, -3.50, -111.00, 868.500, 2, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884337, 2020-11-28 09:05:59, feather_m0, iot_g4, FCC23DFFFE0B685F, LORA, SF09, 8.20, -87.00, 868.500, 2, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884338, 2020-11-28 09:05:59, feather_m0, iot_g4, C0EE40FFFF2947E1, LORA, SF09, 8.50, -95.00, 868.500, 2, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
34884339, 2020-11-28 09:05:59, feather_m0, iot_g4, ttn-tum-i10, LORA, SF09, 8.50, -88.00, 868.500, 2, 0.000000, 0.000000, 0.0, 0.00, 0.0, 0, payload_fields, P1, null
